date,Deutschland,Großbritannien,Albanien,Andorra,Anguilla,Argentinien,Aserbaidschan,Bahrain,Bangladesch,Barbados,Belgien,Bermuda,Brasilien,Bulgarien,Cayman Islands,Chile,Costa Rica,Dänemark,Ecuador,Estland,Finnland,Frankreich,Gibraltar,Griechenland,Grönland,Guernsey,Guyana,Indonesien,Iran,Irland,Island,Isle of Man,Israel,Italien,Japan,Jersey,Kambodscha,Kanada,Kolumbien,Kroatien,Lettland,Litauen,Luxemburg,Malta,Marokko,Mauritius,Mexiko,Norwegen,Oman,Österreich,Pakistan,Peru,Polen,Portugal,Rumänien,Russland,Schweden,Schweiz,Serbien,Seychellen,Singapur,Slowakei,Slowenien,Spanien,Südafrika,Tschechien,Türkei,Turks-und Caicosinseln,Ungarn,USA,Vereinigte Arabische Emirate,Zypern
2020-12-13,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,
2020-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,
2020-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,
2020-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,
2020-12-23,,,,,,,,22.9,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
2020-12-24,,,,,,,,29.4,,,,,,,,0,,,,,,,,,,,,,,,,,24.6,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,,,,,,,,29.7,,,,,,,,0.3,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,,,,,,,,30.3,,,,,,,0,0.4,,,,,,,,,,,,,,,,,32.9,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,
2020-12-27,0.3,14.8,,,,,,31.5,,,,,,,,0.5,,1.1,,,,0,,,,,,,,,,,45.1,0.1,,,,,,,,0.9,,,,,0.1,0,,,,,,,,,0.2,,,,,,2.8,,,0.1,,,,,,
